"PROGRAMA_ORIGEN";"PROGRAMA_USADO"
"AGENTES";"PROVEED"
"AGENTES";"F_MTIPAG"
"AGENTES";"A_MORCME"
"AGENTES";"TIPOSFAC"
"AGENTES";"ESTAPROV"
"AGENTES";"ESTAPROV"
"AGENTES";"CO_CONHA"
"AGENTES";"CENCOSTE"
"AGENTPRO";"AGENTES"
"AGENTPRO";"PROVEED"
"A_GENXLSINV";"A_MZONAL"
"A_GENXLSINV";"A_MALMAC"
"AGFA_CLI";"AGENTES"
"AGFA_CLI";"CLIENTES"
"AGFA_CLI";"A_MCOESA"
"AG_FAM_PROV";"A_MCOESA"
"AG_FAM_PROV";"AGENTES"
"AG_FAM_PROV";"PROVEED"
"AG_NOVAL";"AGENTES"
"A_GPRART";"A_MARTIC"
"A_GPRART";"A_MARTIC"
"AGPSCOFT";"F_MTIPED"
"AGPSCOFT";"A_MCOESA"
"AGPSCOFT";"A_MORCME"
"AGPSCOFT";"CARASIEN"
"AGRCAUTO";"FORMASCP"
"AGRCAUTO";"CLIENTES"
"AGRCAUTO";"MGRUPCEN"
"AGRCAUTO";"CLIENTES"
"AGRCAUTO";"TIPTRANS"
"AGRCAUTO";"CLIENTES"
"AGRCAUTO";"TIPOSCLI"
"AGRCTAL";"TIPTRANS"
"AGRCTAL";"MGRUPCEN"
"AGRCTAL";"CLIENTES"
"AGRCTAL";"TIPTRANS"
"AGRCTAL";"CARASIEN"
"AGRDOCP";"TIPTRANS"
"AGRDOCP";"TIPTRANS"
"AGRDOCP";"ORIGASIE"
"AGRDOCP";"CENCOSTE"
"AGRDOCP";"CENCOSTE"
"AGRDOCP";"ORDEPAGO"
"AGRDOCP";"CARASIEN"
"AGRDOCP";"CARASIEN"
"AGRDOCP";"CARASIEN"
"AGRDOCP";"PROVEED"
"AGRDOCP";"PROVEED"
"AGRDOCP";"PROVEED"
"AGRDOCP";"CONCEPTES"
"AGRDOCP";"CONCEPTES"
"AGRDOCP";"CLIENTES"
"AGRDOCP";"CLIENTES"
"AGRDOCP";"DIVISAS"
"AGRDOCP";"DIVISAS"
"AGRDOCP";"CUENTAS"
"AGRDOCP";"CUENTAS"
"AGRDOCP";"CUENTAS"
"AGRDOCP";"CUENTAS"
"AGRDOCP";"MGRUPCEN"
"AGRDOCP";"BANCOS"
"AGRDOCP";"TIPTRANS"
"AGRPTAL";"CARASIEN"
"AGRPTAL";"TIPTRANS"
"AGRPTAL";"TIPTRANS"
"AGRPTAL";"PROVEED"
"AGRPTAL";"MGRUPCEN"
"AGRUPAGOS";"CUENTAS"
"AGRUPAGOS";"CARASIEN"
"AGRUPAGOS";"CARASIEN"
"AGRUPAGOS";"PROVEED"
"AGRUPAGOS";"PROVEED"
"AGRUPAGOS";"MGRUPCEN"
"AGRUPAGOS";"CUENTAS"
"AGRUPALM";"MGRUPCEN"
"AGRUPALM";"A_MALMAC"
"AGRUPALM";"A_MALMAC"
"AGRUPCOBROS";"MGRUPCEN"
"AGRUPCOBROS";"CARASIEN"
"AGRUPCOBROS";"CARASIEN"
"AGRUPCOBROS";"CUENTAS"
